QNo,問題文,A,B,C,D,正解,解説,ひっかけ,ドメイン,難易度
11,複数のステークホルダーから要望が増えたため、プロダクトオーナーが次のスプリントに入れる項目の優先順位を見直している。一方で開発チームは技術的負債の解消も必要だと伝えている。最も適切な判断はどれか。,ステークホルダー要求を全て優先して入れる,プロダクトオーナーが価値を踏まえて優先順位を決める,開発チームが事業価値も含めて最終決定する,チームリーダーが両者の案を統合して確定する,B,正解：優先順位の最終責任はプロダクトオーナーにある。A：全件投入は現実的でない。C：技術提案はできるが最終責任ではない。D：チームリーダーが決定者ではない。,責任の所在ミス,役割,★★★
12,ある現場でデイリースクラムが毎朝30分行われ、参加者は前日の成果をチームリーダーへ順番に報告している。課題の共有はされるが、その後の協力方法は議論されていない。最も適切な判断はどれか。,毎日実施しているため目的は達成できている,進捗報告の場として機能しているので問題ない,開発チームの計画調整になっておらず不十分である,プロダクトオーナーが参加して指示すれば改善する,C,正解：デイリースクラムの目的は開発チームがその日の進め方を調整すること。A,B：開催自体や報告自体では不十分。D：外部指示で解決する場ではない。,イベント目的誤解,スクラムイベント,★★★
13,TDDを導入した開発チームで、あるメンバーが「仕様が明確なので今回は先に実装し、時間が余れば後で自動テストを書く」と提案した。最も適切な対応はどれか。,実装を先に進めても、後で同じテストを書けばTDDといえる,失敗するテストを書いてから実装するべきである,仕様が明確な場合だけは例外として認められる,チームリーダーがレビューを強化すれば順序は問わない,B,正解：TDDは失敗するテストから始める。A：後追いテストはTDDではない。C：例外化すると原則が崩れる。D：レビュー強化は順序違反の代替にならない。,効率という正論,開発プラクティス,★★★
14,レトロスペクティブで「レビューに時間がかかりすぎる」という課題が出たが、誰も次の行動を決めずに終了しようとしている。最も適切な対応はどれか。,課題を記録したので今回は十分とみなす,次のスプリントで自然に改善されるのを待つ,チームリーダーだけが改善策を決める,開発チームが試す改善アクションを具体化する,D,正解：レトロスペクティブは改善を試す場であり、次の行動が必要。A,B：共有だけでは改善しない。C：チーム全体の改善であり一人の決定にしない。,共有＝OK誤解,スクラムイベント,★★★
15,自己組織化を目指す開発チームで、チームリーダーが毎日メンバーごとの担当作業を細かく割り振り、変更も逐一承認している。最も適切な判断はどれか。,自己組織化を支援しているため適切,開発チームの自律的な意思決定を妨げている,生産性が上がるなら問題ない,プロダクトオーナーが同じことを行えば適切,B,正解：自己組織化では作業の進め方を開発チームが主体的に決める。A,C：効率があっても自律性を損なう。D：役割が変わっても不適切。,管理思考,チーム特性,★★★
16,前回のスプリントでベロシティが高かったため、プロダクトオーナーが次スプリントでは同じ数値を必達目標としてより多くの項目を入れようとしている。最も適切な判断はどれか。,ベロシティは目標値として固定すべきである,ベロシティが高いほど成熟しているので増やすべきである,ベロシティは参考指標であり、開発チームが実現可能性を判断する,チームリーダーが前回比で増えるよう再見積もりすればよい,C,正解：ベロシティは予測の参考であり強制目標ではない。A,B：数値の誤用。D：見積もり調整で合わせるのは本質ではない。,数値管理誤用,可視化・管理,★★★
17,ある機能は実装と単体テストが完了しているが、レビュー未完了で結合テストも残っている。それでも担当者は「ほぼ終わっているので完了として扱いたい」と主張した。最も適切な判断はどれか。,担当者が完了と判断すれば完了である,スプリント終盤なら例外的に完了扱いできる,プロダクトオーナーが価値を認めれば完了である,完了の定義を満たしていなければ完了ではない,D,正解：完了は完了の定義を満たしたときにのみ成立する。A：個人判断ではない。B：時期で基準は変えない。C：価値評価と完了判定は別である。,DoD軽視,成果物・管理,★★★
18,スプリントレビューで、開発チームは完成した機能を説明したが、参加したステークホルダーから市場状況の変化を踏まえた新しい要望が多く出た。最も適切な対応はどれか。,その場でスプリントバックログを書き換えて確定する,要望をプロダクトバックログに反映し、今後の優先順位を見直す,レビュー後の要望はスプリント計画まで受け付けない,開発チームが実装しやすいものだけを選んで採用する,B,正解：スプリントレビューは成果確認と今後の方向調整の場であり、要望はバックログへ反映する。A：その場で次スプリントを確定しない。C：学習機会を失う。D：価値判断の主体が違う。,イベント目的誤解,スクラムイベント,★★★
19,スプリントの途中で重要顧客から緊急の要望が届き、営業部門は開発チームへ直接「今すぐ着手してほしい」と依頼した。最も適切な対応はどれか。,顧客が重要なので開発チームが直接受けて着手する,チームリーダーが優先度を判断して即時に割り込ませる,プロダクトオーナーが内容と影響を確認し、扱いを判断する,次のレトロスペクティブまで保留にする,C,正解：外部要求の受け止めと優先順位判断はプロダクトオーナーが担う。A：直接割り込みはスコープを乱す。B：チームリーダーが優先順位を決めない。D：検討の場が遅すぎる。,責任の所在ミス,外部関係,★★★★
20,プロダクトオーナーがレビューで得た学びをもとにバックログ項目を書き換えたところ、開発チームの一部メンバーが「実装方法まで詳細に指定してほしい」と求めた。最も適切な判断はどれか。,プロダクトオーナーは価値と要求を明確にするが、実装方法は開発チームが決める,実装方法まで定義して初めてバックログは完成する,チームリーダーが実装方針を固定してから見積もるべきである,ステークホルダーが期待する実装方法をそのまま採用する,A,正解：プロダクトオーナーは何を実現するかに責任を持ち、どう作るかは開発チームが決める。B：責任範囲を越える。C：固定化しすぎる。D：価値と実装を混同している。,役割誤解,役割,★★★
