QNo,問題文,A,B,C,D,正解,解説,ひっかけ,ドメイン,難易度
41,アジャイルソフトウェア開発宣言は何を示すものかという問いに対し最も適切な説明はどれか。,各工程の標準手順を厳密に規定するもの,契約交渉や予算管理の統一ルールを示すもの,価値判断の優先順位と開発指針を示すもの,使用すべき開発ツールを定義するもの,C,正解：宣言は価値の優先順位を示す。A,B,D：具体手順や規程ではない。,宣言の役割誤解,原則・価値,★★★
42,CIとCDやDevOpsの違いを理解している説明として最も適切なのはどれか。,CIの主目的は本番への自動配備まで含めることだ,CIは内部構造改善だけを目的としテストとは無関係だ,CIは継続的に統合して早く問題を見つけることであり配備まで含むとは限らない,CIは手動レビューを頻繁に行う管理手法である,C,正解：CIは継続的統合と早期検出が主目的。A：CDやDevOps寄り。B,D：目的が違う。,CI/CD混同,開発プラクティス,★★★★
43,動くソフトウェアを重視する価値について最も適切な説明はどれか。,必要なドキュメントも含め成果物全体で価値を判断するが最終的な確認は動くソフトウェアで行う,動くソフトウェアさえあれば保守や運用に必要な情報も不要である,品質保証のため設計書を厳密に書くことが動くソフトウェアより優先される,文書を作成した時点で価値提供は十分とみなせる,A,正解：動くソフトウェアを重視しても必要な文書は残す。B,C,D：極端化している。,文書不要誤解,原則・価値,★★★★
44,外部からの問い合わせや急な依頼が頻発して開発チームの集中が妨げられている。チームリーダーの最も適切な行動はどれか。,問い合わせは全てメンバーへ直接渡し自己解決を促す,外部との連絡窓口となり必要な調整を引き受ける,情報流出防止のため外部とのやり取りを全面禁止する,開発チームに順番で窓口担当を持たせる,B,正解：チームリーダーは外部の妨害からチームを守る。A,D：集中が分散する。C：透明性と協調を損なう。,支援型誤解,役割,★★★★
45,プロダクトオーナーが価値を実現する責任を持つ一方で実装方法の詳細について最も適切な説明はどれか。,価値が高い機能はPOが技術設計まで決めるべきだ,POは何を実現するかを明確にしHowは開発チームが決める,CI失敗時はPOが修正順序まで指示する,要件が曖昧な時はチームリーダーが実装方式を固定する,B,正解：WhatとHowを分けるのが基本。A,C,D：役割越境が起きている。,WhatとHow混同,役割,★★★★
46,スプリントレビューとレトロスペクティブの違いについて最も適切な説明はどれか。,どちらも同じ参加者で同じ改善議題を扱う,レビューは成果物と価値を確認しレトロスペクティブはチームの改善を扱う,レビューは開発チームのみで実施しレトロは顧客も参加する,レビューで決まらなかったことをレトロで代わりに決める,B,正解：レビューとレトロは目的も参加者も異なる。A,C,D：会議体の役割が混同している。,会議体混同,スクラムイベント,★★★★
47,カンバンボードや進捗の見える化に関する運用として最も適切なのはどれか。,管理者だけが更新することで正確性を保つ,各開発者が自分の作業進捗を更新しチーム全体で現状を把握する,顧客が利用状況を見て更新する,チームリーダーが全メンバー分を代理入力する,B,正解：自己組織化では進捗もチームで可視化する。A,D：透明性と主体性が落ちる。C：役割が違う。,可視化主体誤解,可視化・管理,★★★
48,プロダクトオーナーが価値を認めたストーリーでも完了の定義を満たしていない場合の扱いとして最も適切なのはどれか。,価値が高ければ完了としてよい,顧客が受け入れれば内部基準は後回しでよい,完了の定義を満たすまでは完了ではない,スプリントレビューで了承されれば完了扱いにできる,C,正解：完了判定はDoDによる。A,B,D：価値評価と完了判定を混同している。,DoD誤解,成果物・管理,★★★
49,品質 コスト 期間を維持しつつ価値提供を続けたい場合にアジャイルでよく取られる考え方として最も適切なのはどれか。,全機能を必ず守り期間が足りなければ残業で吸収する,価値の低い範囲からスコープを調整し最小価値から提供する,品質を一時的に下げてリリース後に修正する,顧客要求は固定し変更が出たら次プロジェクトへ回す,B,正解：スコープを調整しつつ品質と期間を守るのが基本。A,C,D：持続可能でも柔軟でもない。,スコープ調整誤解,原則・価値,★★★★
50,失敗や不具合に対する自律したチームの姿勢として最も適切なのはどれか。,責任者を特定して再発防止を徹底する,影響が大きい時だけ情報共有し通常は個人で解決する,情報を共有して原因を学び改善へつなげる,顧客へ不安を与えないため失敗情報は最小限にとどめる,C,正解：失敗は学習と改善の材料として扱う。A：責任追及に寄りすぎ。B,D：透明性が不足する。,失敗対応誤解,チーム特性,★★★★
