"QNo","問題文","A","B","C","D","正解","解説","ひっかけ","ドメイン","難易度"
"71","スプリントの後半、重要顧客から法改正対応の要望が届いた。開発チームは今のスプリントの作業でほぼ手一杯だが、現場感覚では今すぐ着手した方が安心だという声もある。試験上、最も適切な判断はどれか。","開発チームが今の作業を止めて直ちに着手し、スプリントゴールは状況に応じて後から調整する。","プロダクトオーナーが要望の価値と緊急性を整理し、必要ならプロダクトバックログの優先順位を見直した上で、今のスプリントで扱うか次のスプリントで扱うかを判断する。","顧客要望なので受け入れは確定とし、チームリーダーが開発チームへ担当者を割り振る。","法改正は重要なので、スプリントの期間を延長してでも今のスプリント内で完了させる。","B","試験では顧客要望の優先順位付けはプロダクトオーナーの責務であり、スプリント中の扱いもゴールと整合させて判断する。","緊急案件だから即着手","役割","★★★★★"
"72","デイリースクラムで、あるメンバーが設計上の懸念を詳しく議論し始めた。参加していた上司は、そのまま全員で深掘りした方が効率的だと提案した。試験上、最も適切な対応はどれか。","全員がそろっている機会なので、その場で解決策が固まるまで議論する。","上司への説明責任を果たすため、議論内容を詳しく記録しながら会議時間を延長する。","デイリースクラムでは状況共有と調整に集中し、詳細議論は必要なメンバーだけで別途行う。","上司が参加している以上、上司の判断を優先して会議の進め方を変える。","C","デイリースクラムの目的は開発チーム内の調整であり、詳細な問題解決会議にしない。","全員集合の効率論","スクラムイベント","★★★★★"
"73","スプリントレビューで顧客から高評価を得たため、プロダクトオーナーはその流れでレトロスペクティブにも顧客代表に参加してもらい、率直な改善意見を聞きたいと考えた。試験上、最も適切な判断はどれか。","改善の質が上がるので、顧客代表にも継続参加してもらう。","レビューとレトロスペクティブは連続して行うことが多いので、参加者も同じでよい。","レトロスペクティブは開発チームとチームリーダーが中心となる振り返りであり、顧客代表は通常参加しない。","顧客代表の参加は任意だが、プロダクトオーナーが望むなら必ず認めるべきである。","C","レビューは成果物確認、レトロスペクティブはチームの進め方改善であり、目的と参加者が異なる。","レビューとレトロの混同","スクラムイベント","★★★★★"
"74","あるストーリーは顧客デモで好評だったが、事前に決めていた自動テストの一部が未完了だった。現場では価値提供を優先して完了扱いにしたい空気がある。試験上、最も適切な判断はどれか。","顧客が満足しているので完了としてよい。","次のスプリントでテストを補えばよいので暫定的に完了扱いにする。","完了の定義を満たしていないため完了とはみなさない。","プロダクトオーナーが価値ありと判断したので完了とみなす。","C","試験では完了判定は完了の定義に基づく。顧客評価が高くてもDoD未達なら未完了である。","価値とDoDの競合","成果物・管理","★★★★★"
"75","ペアプログラミングを導入した開発チームで、知識共有を重視して毎時間ペアを入れ替える案が出た。一方で引き継ぎコストが高いという懸念もある。試験上、最も適切な判断はどれか。","知識共有が最大化するため、短時間で頻繁に必ず交代する。","引き継ぎコストを避けるため、機能完了まで同じペアを固定する。","目的に応じて適切なタイミングでペアを入れ替え、知識共有と作業効率の両方を考慮する。","ベテランと新人の組み合わせは効率が下がるので避ける。","C","試験ではペアプログラミングは品質と知識共有のために状況に応じて使う。極端な固定や頻繁すぎる交代は本質ではない。","常にこうするべき","開発プラクティス","★★★★"
"76","マネージャーから、次の四半期計画の精度を高めたいので、直近3スプリントのベロシティを各メンバーの評価と次期担当割当の根拠にしたいと相談された。試験上、最も適切な対応はどれか。","ベロシティは実績値なので、個人評価にも将来の厳密な工数見積りにも使える。","ベロシティは開発チームの参考指標であり、個人評価の指標として使うべきではない。","ベロシティの低下要因を特定するため、メンバー別ベロシティに分解して管理する。","計画精度を高めるには、毎スプリントでベロシティ目標を上げ続けるべきである。","B","ベロシティはチームの将来計画の参考にはなるが、個人評価の指標として扱うものではない。","指標の目的誤解","可視化・管理","★★★★★"
"77","外部部門から開発チームへ細かな進捗確認が頻繁に入り、メンバーの集中が途切れていた。現場では全ての問い合わせを開発チームに直接見せた方が透明性が高いという意見もある。試験上、チームリーダーの最も適切な行動はどれか。","透明性を保つため、すべての問い合わせを開発チームに即時共有して個別に対応してもらう。","開発チームを守るため、問い合わせの窓口となり、必要なものだけをチームへつなぐ。","外部からの問い合わせは一切拒否し、チーム外との接触を断つ。","問い合わせ対応も自己組織化の一部なので、チームリーダーは関与しない。","B","チームリーダーは開発チームが作業に集中できるよう、外部からの妨害を減らす役割を持つ。","透明性と保護の競合","役割","★★★★★"
"78","スプリントレビューの直前に、ある機能は受け入れ条件を満たしていたが、顧客から『思っていた見た目と違う』という感想が出た。試験上、最も適切な理解はどれか。","受け入れ条件を満たしたので、その場で正式リリースを確定すべきである。","レビューでは実際の成果物へのフィードバックを得て、必要ならプロダクトバックログを見直す。","顧客の印象は主観なので、レビューでは考慮しなくてよい。","見た目の不満はレトロスペクティブで議論すべきである。","B","レビューは成果物を確認し、次の優先順位や改善に活かす場である。受け入れ済みでもフィードバックは重要。","受け入れとレビューの混同","スクラムイベント","★★★★"
"79","長く触っていないコードに改善余地が見つかったが、現場では『今動いているから触らない方が安全だ』という声が強かった。試験上、リファクタリングの最も適切な位置づけはどれか。","動作中のコードには原則触れず、機能追加のついでにだけ最小限変更する。","リファクタリングは外部仕様を変えずに内部構造を改善し、将来の変更容易性を高めるための作業である。","リファクタリングは新機能追加より優先して、常に独立した大規模施策として実施する。","リファクタリングは不具合修正と同義である。","B","試験ではリファクタリングは外部動作を変えずに内部構造を改善する活動として整理される。","動くコード神話","開発プラクティス","★★★★★"
"80","優先順位付けでMoSCoWを使っている。議論の中で『Couldも価値があるなら今回入れるべきだ』『Won'tは絶対に不要という意味だ』という意見が出た。試験上、最も適切な理解はどれか。","Couldは価値があるなら必ず今回含めるべきであり、Won'tは将来も絶対に実施しない。","ShouldとCouldの違いは小さいので、同じ優先度として扱ってよい。","Mustを優先しつつ、Couldは余力があれば実施する。Won'tは今回やらないと決める区分として扱う。","Won'tは価値が低いので、候補から完全に削除する。","C","MoSCoWではCouldは余力があれば、Won'tは今回やらないものとして扱う。","用語の絶対化","可視化・管理","★★★★"
